loan_status,term,home_ownership,emp_length,verification_status,installment,monthly_inc,PaymentToIncome,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc
1,60,2,4,3,388.67,4333.0,0.08969997692130165,16.43,0,0,7,0,2644,0.48200000000000004,15
1,36,2,0,1,38.51,1600.0,0.02406875,10.19,0,0,9,0,6283,0.47200000000000003,10
1,36,2,7,1,221.28,4666.666666666667,0.04741714285714285,9.11,0,1,13,0,977,0.027000000000000003,32
1,36,3,0,3,167.09,4166.666666666667,0.0401016,15.84,0,1,7,0,14576,0.684,18
1,36,3,9,1,372.12,5000.0,0.074424,16.32,1,0,9,0,13703,0.322,37
1,36,2,9,1,156.1,5833.333333333333,0.02676,2.11,0,0,6,0,2663,0.222,16
0,36,3,4,1,369.08,4166.666666666667,0.08857919999999998,4.15,0,0,5,0,4268,0.736,5
1,36,3,5,2,735.14,8400.0,0.08751666666666666,18.6,0,1,12,0,27773,0.529,26
1,36,3,10,3,309.42,4250.0,0.07280470588235294,7.27,0,0,14,0,9372,0.105,22
1,36,4,10,1,257.78,7500.0,0.03437066666666666,9.87,0,3,16,0,5163,0.04,35
1,36,2,0,1,370.04,3750.0,0.09867733333333334,8.93,0,0,13,0,15195,0.608,25
0,36,3,0,2,654.68,5800.0,0.11287586206896551,23.48,0,3,8,0,9723,0.46299999999999997,37
0,36,2,10,1,169.45,2916.6666666666665,0.058097142857142854,24.31,0,1,3,0,10091,0.9990000000000001,25
0,60,3,10,2,392.51,5833.333333333333,0.06728742857142857,16.3,0,0,8,0,12141,0.943,14
0,60,3,4,2,879.47,9416.666666666666,0.09339504424778762,15.04,1,2,9,0,20919,0.737,19
1,36,3,7,2,381.04,3353.8333333333335,0.11361327833821995,17.08,0,0,7,0,14573,0.722,24
1,36,3,0,1,156.84,15000.0,0.010456,5.55,0,0,12,0,40934,0.263,39
1,36,2,0,2,41.74,800.0,0.052175,14.75,0,1,3,0,315,0.242,4
1,36,2,7,2,211.27,3750.0,0.05633866666666667,17.42,0,0,7,0,9954,0.9570000000000001,8
1,60,3,2,3,333.13,5000.0,0.066626,9.22,0,0,7,0,3413,0.139,14
1,36,4,1,1,545.13,2833.3333333333335,0.19239882352941176,18.11,0,0,8,0,19061,0.396,11
1,36,3,10,1,186.67,2916.6666666666665,0.06400114285714285,10.42,1,1,13,0,13093,0.26,23
1,36,2,2,3,180.96,15416.666666666666,0.011737945945945946,4.87,0,0,9,0,23475,0.519,33
1,36,2,1,1,64.62,4400.0,0.014686363636363638,18.68,0,3,16,0,10936,0.483,33
1,60,3,8,2,428.91,12500.0,0.034312800000000004,16.82,0,1,13,1,4648,0.415,28
1,60,3,10,2,772.29,8750.0,0.08826171428571428,12.69,0,1,14,0,25482,0.511,50
0,36,4,0,1,139.2,2083.3333333333335,0.06681599999999999,12.62,0,1,5,0,5550,0.91,9
1,60,2,9,3,154.13,4660.75,0.03306978490586279,18.41,0,5,20,0,11627,0.418,48
0,36,2,6,1,134.18,2500.0,0.053672000000000004,17.6,0,1,8,0,1296,0.055,20
1,36,3,1,2,198.46,7000.0,0.028351428571428573,18.44,2,0,4,0,0,0.3773,14
1,36,2,0,1,32.98,1400.0,0.023557142857142856,8.5,0,0,4,0,1805,0.46299999999999997,9
1,36,3,10,3,174.02,8717.166666666666,0.01996290843737453,14.19,0,1,12,0,16692,0.978,40
1,36,2,2,1,65.69,1750.0,0.03753714285714286,21.52,0,0,4,0,564,0.076,15
1,36,3,10,1,153.84,6917.0,0.02224085586236808,8.18,0,3,12,0,10759,0.157,37
1,36,3,6,3,250.95,4444.083333333333,0.05646833805246677,4.59,0,1,13,0,5850,0.10400000000000001,35
1,36,2,0,1,79.97,3466.6666666666665,0.023068269230769232,22.36,0,2,17,0,12785,0.772,29
1,60,3,2,2,216.18,8750.0,0.024706285714285715,4.05,0,1,7,0,0,0.0,38
1,36,2,1,3,319.47,4583.333333333333,0.06970254545454546,0.39,0,1,7,0,99,0.002,14
1,36,3,10,3,230.05,4928.916666666667,0.046673542191489004,18.2,0,1,14,0,42157,0.866,40
1,36,4,4,1,231.54,3260.0,0.0710245398773006,21.01,0,0,8,1,9414,0.524,26
1,60,2,2,2,219.88,5000.0,0.043976,25.34,0,0,6,0,3616,0.373,7
1,36,2,10,3,563.06,4583.333333333333,0.12284945454545454,17.63,0,0,8,0,26175,0.6629999999999999,26
1,60,2,2,3,523.34,29166.666666666668,0.017943085714285715,5.34,1,1,14,0,53150,0.35100000000000003,32
1,60,2,0,2,364.48,3167.0,0.11508683296495106,21.57,1,1,12,0,22427,0.326,20
